order_id,customer_id,order_date,status,total_amount,currency,status_norm,status_final
44,474,2025-06-06,pndng,907.75,USD,Pending,Cancelled
45,386,2025-03-01,Pending,381.13,EUR,Pending,Cancelled
46,8,2025-02-03,Pending,593.74,EUR,Pending,Cancelled
47,509,2025-08-31,Pending,17.96,USD,Pending,Cancelled
48,872,2025-08-14,Completed,591.41,EUR,Completed,Completed
49,85,2025-09-03,completed,1016.41,GBP,Completed,Completed
50,988,2025-10-14,Pending,1800.67,EUR,Pending,Cancelled
51,962,2025-11-06,pending,819.27,EUR,Pending,Cancelled
52,102,2025-11-14,Completed,1921.91,GBP,Completed,Completed
53,745,2024-12-17,Pending,1206.21,USD,Pending,Cancelled
54,159,2024-12-17,pending,1146.66,EUR,Pending,Cancelled
55,279,2025-10-02,pending,1908.38,GBP,Pending,Cancelled
56,441,2025-06-17,Pending,700.46,GBP,Pending,Cancelled
57,103,2025-11-18,pending,1407.57,USD,Pending,Cancelled
58,552,2025-07-28,pending,1269.03,EUR,Pending,Cancelled
59,767,2025-08-31,Completed,1416.43,GBP,Completed,Completed
60,233,2025-09-15,Pending,528.98,USD,Pending,Cancelled
61,796,2025-01-01,pndng,243.83,USD,Pending,Cancelled
62,216,2025-02-09,Pending,1517.05,USD,Pending,Cancelled
63,712,2025-01-09,Completed,1242.11,EUR,Completed,Completed
64,668,2025-03-04,Completed,1758.14,USD,Completed,Completed
65,397,2025-09-14,Pending,968.2,EUR,Pending,Cancelled
66,683,2025-03-03,Completed,122.37,USD,Completed,Completed
67,903,2025-01-10,Completed,613.87,USD,Completed,Completed
68,771,2025-09-02,pending,1839.82,USD,Pending,Cancelled
69,962,2025-04-26,Pending,74.46,USD,Pending,Cancelled
70,737,2025-08-26,Pending,1451.54,EUR,Pending,Cancelled
71,516,2024-11-22,Pending,547.66,EUR,Pending,Cancelled
72,248,2025-02-11,Completed,1886.53,USD,Completed,Completed
73,40,2025-01-30,pndng,268.77,USD,Pending,Cancelled
74,845,2025-08-19,Pending,612.09,USD,Pending,Cancelled
75,542,2024-12-07,Pending,1410.92,USD,Pending,Cancelled
76,735,2025-09-28,completed,542.06,EUR,Completed,Completed
77,233,2025-11-03,Completed,1996.89,USD,Completed,Completed
78,133,2025-09-21,Completed,905.99,USD,Completed,Completed
79,423,2025-01-12,pending,1848.68,EUR,Pending,Cancelled
80,705,2025-04-05,pending,1771.53,EUR,Pending,Cancelled
81,97,2025-07-06,Pending,1483.67,USD,Pending,Cancelled
82,864,2025-03-15,Completed,1128.13,USD,Completed,Completed
83,194,2025-03-05,Pending,1308.11,EUR,Pending,Cancelled
84,707,2025-02-01,Completed,1380.49,EUR,Completed,Completed
85,718,2025-09-26,pending,1009.56,USD,Pending,Cancelled
86,255,2025-05-15,pending,510.36,EUR,Pending,Cancelled
87,250,2025-01-10,Pending,1195.69,USD,Pending,Cancelled
88,526,2024-12-28,Pending,889.19,USD,Pending,Cancelled
89,304,2025-08-06,Completed,584.16,EUR,Completed,Completed
90,427,2025-10-22,Pending,1831.57,USD,Pending,Cancelled
91,200,2025-04-06,Completed,466.92,EUR,Completed,Completed
92,491,2025-07-20,Completed,1247.13,USD,Completed,Completed
93,941,2025-02-13,Completed,1787.06,EUR,Completed,Completed
94,244,2025-10-25,pending,589.08,EUR,Pending,Cancelled
95,485,2025-09-07,pending,896.83,GBP,Pending,Cancelled
96,500,2025-10-09,pndng,1522.13,EUR,Pending,Cancelled
97,253,2025-03-15,pending,1920.13,EUR,Pending,Cancelled
98,198,2025-08-23,pending,1522.2,GBP,Pending,Cancelled
99,467,2024-12-10,Completed,1572.84,USD,Completed,Completed
100,205,2025-09-26,Completed,509.83,GBP,Completed,Completed
101,242,2025-07-06,Completed,875.91,GBP,Completed,Completed
102,756,2025-02-22,Completed,964.79,USD,Completed,Completed
103,507,2025-06-19,Pending,112.27,EUR,Pending,Cancelled
104,3,2025-06-11,Pending,1806.26,USD,Pending,Cancelled
105,376,2025-10-15,Completed,1978.33,USD,Completed,Completed
106,458,2025-01-07,pndng,312.15,EUR,Pending,Cancelled
107,749,2025-03-04,Pending,1167.73,USD,Pending,Cancelled
108,682,2025-05-25,Pending,1960.17,EUR,Pending,Cancelled
109,426,2025-10-21,pending,839.19,USD,Pending,Cancelled
110,67,2025-07-10,pndng,863.83,GBP,Pending,Cancelled
111,635,2025-03-12,pending,1595.3,USD,Pending,Cancelled
112,776,2025-01-12,Pending,1389.72,EUR,Pending,Cancelled
113,79,2025-09-05,Pending,1937.2,USD,Pending,Cancelled
114,318,2025-08-24,Completed,1221.41,USD,Completed,Completed
115,488,2025-07-20,completed,865.5,USD,Completed,Completed
116,445,2025-09-30,Completed,781.06,USD,Completed,Completed
117,863,2025-04-03,Pending,907.33,EUR,Pending,Cancelled
118,645,2025-01-21,Pending,809.17,USD,Pending,Cancelled
119,579,2025-05-19,Completed,765.94,GBP,Completed,Completed
120,301,2025-04-28,completed,1074.18,EUR,Completed,Completed
121,893,2025-08-11,pending,440.64,EUR,Pending,Cancelled
122,974,2025-06-28,pndng,956.81,USD,Pending,Cancelled
123,668,2025-02-07,Pending,1893.11,EUR,Pending,Cancelled
124,134,2025-08-15,Completed,1412.53,USD,Completed,Completed
125,130,2025-06-21,Pending,1266.45,EUR,Pending,Cancelled
126,544,2025-06-19,Completed,588.41,GBP,Completed,Completed
127,928,2025-04-18,pending,1146.83,USD,Pending,Cancelled
128,983,2025-04-22,Completed,700.24,EUR,Completed,Completed
129,803,2025-03-06,Completed,300.51,USD,Completed,Completed
130,6,2025-03-16,completed,810.56,EUR,Completed,Completed
131,394,2024-12-11,Completed,442.66,USD,Completed,Completed
132,595,2025-01-26,Pending,1938.89,USD,Pending,Cancelled
133,856,2025-02-23,pending,749.92,USD,Pending,Cancelled
134,282,2024-12-01,Completed,919.25,USD,Completed,Completed
135,884,2025-08-23,pending,467.22,GBP,Pending,Cancelled
136,192,2025-10-12,Completed,359.67,EUR,Completed,Completed
137,320,2025-02-21,Completed,383.13,USD,Completed,Completed
138,602,2025-02-27,pending,528.87,EUR,Pending,Cancelled
139,965,2025-01-21,pndng,502.1,EUR,Pending,Cancelled
140,600,2025-02-22,Pending,528.79,EUR,Pending,Cancelled
141,758,2024-11-29,Completed,1601.08,USD,Completed,Completed
142,553,2025-05-28,Completed,1938.58,EUR,Completed,Completed
143,253,2025-07-04,completed,1467.72,EUR,Completed,Completed
144,254,2025-05-24,Pending,1086.66,EUR,Pending,Cancelled
145,3,2025-11-01,Completed,1166.81,GBP,Completed,Completed
146,960,2025-06-19,completed,682.89,EUR,Completed,Completed
147,550,2025-11-17,Pending,1743.15,USD,Pending,Cancelled
148,557,2025-09-15,completed,1679.77,USD,Completed,Completed
149,715,2025-08-03,Completed,1909.23,EUR,Completed,Completed
150,752,2025-08-07,Pending,1297.91,EUR,Pending,Cancelled
151,537,2025-08-24,Completed,1991.66,GBP,Completed,Completed
152,536,2025-01-07,Pending,1735.45,EUR,Pending,Cancelled
153,414,2025-11-11,Completed,1211.42,GBP,Completed,Completed
154,701,2025-04-30,Completed,1089.13,EUR,Completed,Completed
155,612,2024-12-25,Completed,1201.65,USD,Completed,Completed
156,503,2025-08-15,Completed,1816.82,GBP,Completed,Completed
157,213,2025-11-02,pending,494.94,USD,Pending,Cancelled
158,731,2025-08-30,Completed,1290.46,USD,Completed,Completed
159,711,2025-03-23,Completed,1840.68,USD,Completed,Completed
160,407,2025-10-25,pending,574.18,USD,Pending,Cancelled
161,296,2025-04-06,Completed,1436.2,EUR,Completed,Completed
162,20,2025-10-23,Completed,153.81,USD,Completed,Completed
163,618,2025-06-01,completed,1429.34,EUR,Completed,Completed
164,83,2025-02-07,Completed,1137.12,USD,Completed,Completed
165,854,2025-02-24,Pending,1654.99,USD,Pending,Cancelled
166,28,2025-07-09,Pending,233.02,USD,Pending,Cancelled
167,927,2025-10-16,Completed,560.56,GBP,Completed,Completed
168,163,2025-01-18,Pending,904.79,USD,Pending,Cancelled
169,677,2025-02-12,Completed,92.98,EUR,Completed,Completed
170,91,2025-02-11,Completed,818.21,EUR,Completed,Completed
171,733,2025-08-20,pending,1171.13,USD,Pending,Cancelled
172,132,2025-04-03,completed,1312.53,USD,Completed,Completed
173,893,2025-04-16,Pending,69.19,EUR,Pending,Cancelled
174,911,2024-12-21,Pending,100.33,USD,Pending,Cancelled
175,656,2025-11-09,Pending,1162.97,EUR,Pending,Cancelled
176,512,2025-03-18,pending,1371.03,EUR,Pending,Cancelled
177,380,2024-12-23,Completed,1306.71,USD,Completed,Completed
178,246,2025-04-27,pending,71.51,USD,Pending,Cancelled
179,329,2025-01-31,Completed,401.55,EUR,Completed,Completed
180,44,2025-03-24,pending,1934.82,USD,Pending,Cancelled
181,839,2025-08-06,Completed,1865.82,USD,Completed,Completed
182,255,2025-02-01,Completed,764.73,EUR,Completed,Completed
183,960,2025-08-31,Completed,1477.88,USD,Completed,Completed
184,141,2024-12-09,Completed,341.06,USD,Completed,Completed
185,626,2025-08-08,Completed,237.73,USD,Completed,Completed
186,241,2024-11-26,pending,1964.9,USD,Pending,Cancelled
187,406,2025-06-11,pending,1571.68,USD,Pending,Cancelled
188,868,2025-05-04,Pending,1230.5,EUR,Pending,Cancelled
189,57,2024-12-05,Pending,1937.31,EUR,Pending,Cancelled
190,358,2025-03-22,Pending,927.71,EUR,Pending,Cancelled
191,765,2025-07-21,Completed,662.58,USD,Completed,Completed
192,329,2025-05-21,pndng,205.18,GBP,Pending,Cancelled
193,611,2025-03-06,Completed,530.44,EUR,Completed,Completed
194,933,2025-08-31,Pending,776.71,USD,Pending,Cancelled
195,222,2025-04-29,Completed,1606.69,USD,Completed,Completed
196,878,2025-07-04,pending,903.24,GBP,Pending,Cancelled
197,357,2025-10-05,Completed,897.74,USD,Completed,Completed
198,448,2025-08-09,Pending,1809.04,USD,Pending,Cancelled
199,822,2025-06-02,Pending,1961.42,USD,Pending,Cancelled
200,980,2025-05-01,Completed,217.86,USD,Completed,Completed
201,376,2025-07-28,Completed,710.58,EUR,Completed,Completed
202,15,2025-10-27,pending,12.84,GBP,Pending,Cancelled
203,374,2025-03-05,Completed,1643.19,EUR,Completed,Completed
204,460,2025-01-08,Completed,1711.12,EUR,Completed,Completed
205,729,2025-07-31,Pending,1165.59,USD,Pending,Cancelled
206,318,2025-04-23,Pending,115.44,USD,Pending,Cancelled
207,634,2025-11-07,Pending,1550.17,EUR,Pending,Cancelled
208,55,2025-09-27,Pending,1236.95,EUR,Pending,Cancelled
209,686,2025-05-01,Pending,882.52,USD,Pending,Cancelled
210,833,2025-05-26,Completed,856.5,USD,Completed,Completed
211,675,2025-03-11,Completed,1295.19,USD,Completed,Completed
212,60,2024-12-04,Completed,1436.89,USD,Completed,Completed
213,788,2024-12-15,Completed,502.66,EUR,Completed,Completed
214,964,2025-05-22,Completed,258.84,EUR,Completed,Completed
215,836,2025-10-18,Completed,234.27,EUR,Completed,Completed
216,488,2024-12-12,Pending,84.36,EUR,Pending,Cancelled
217,908,2025-09-09,Pending,1466.89,USD,Pending,Cancelled
218,553,2025-01-03,Pending,615.67,EUR,Pending,Cancelled
219,493,2025-10-02,Pending,790.75,GBP,Pending,Cancelled
220,419,2025-07-04,Pending,1927.44,EUR,Pending,Cancelled
221,941,2025-09-03,Completed,1086.98,USD,Completed,Completed
222,875,2025-02-11,Completed,1869.1,EUR,Completed,Completed
223,768,2025-02-19,Completed,1533.25,USD,Completed,Completed
224,292,2025-10-11,Completed,914.75,GBP,Completed,Completed
225,753,2025-02-22,Pending,579.86,USD,Pending,Cancelled
226,495,2025-06-29,completed,65.81,USD,Completed,Completed
227,320,2025-03-09,Completed,1806.22,EUR,Completed,Completed
228,351,2025-06-08,Pending,1218.13,EUR,Pending,Cancelled
229,495,2025-11-02,Completed,1312.59,EUR,Completed,Completed
230,111,2025-05-09,Pending,930.32,USD,Pending,Cancelled
231,816,2025-05-02,Completed,1849.12,EUR,Completed,Completed
232,360,2025-11-01,Completed,1142.73,EUR,Completed,Completed
233,784,2025-03-23,Completed,1951.35,EUR,Completed,Completed
234,219,2025-10-17,pending,518.18,GBP,Pending,Cancelled
235,378,2025-01-23,Completed,1501.36,EUR,Completed,Completed
236,950,2025-08-15,Completed,109.02,EUR,Completed,Completed
237,446,2025-07-14,pndng,1518.44,EUR,Pending,Cancelled
238,366,2025-06-07,Completed,1098.48,GBP,Completed,Completed
239,777,2024-12-07,Pending,514.7,EUR,Pending,Cancelled
240,90,2025-01-22,Completed,410.35,EUR,Completed,Completed
241,885,2025-11-14,pending,1008.03,USD,Pending,Cancelled
242,908,2025-04-24,Completed,1535.96,USD,Completed,Completed
243,265,2024-12-30,pending,1279.53,EUR,Pending,Cancelled
244,745,2025-02-17,Completed,270.19,EUR,Completed,Completed
245,432,2025-09-20,pndng,1408.13,EUR,Pending,Cancelled
246,436,2024-12-16,Completed,1538.29,USD,Completed,Completed
247,913,2025-03-19,Pending,1611.98,USD,Pending,Cancelled
248,358,2025-07-20,Completed,1745.96,USD,Completed,Completed
249,258,2025-09-30,Pending,664.16,USD,Pending,Cancelled
250,200,2024-11-23,Completed,857.42,EUR,Completed,Completed
251,322,2025-07-21,Completed,1892.99,GBP,Completed,Completed
252,788,2025-03-19,Completed,879.97,USD,Completed,Completed
253,298,2025-08-15,Pending,167.67,GBP,Pending,Cancelled
254,256,2025-11-07,Pending,95.08,GBP,Pending,Cancelled
255,797,2025-02-22,Completed,651.5,EUR,Completed,Completed
256,906,2024-11-23,Completed,1940.06,USD,Completed,Completed
257,796,2025-04-13,pending,16.93,EUR,Pending,Cancelled
258,186,2025-10-27,Completed,1168.3,EUR,Completed,Completed
259,902,2025-09-19,completed,719.71,EUR,Completed,Completed
260,742,2025-10-06,Completed,623.49,GBP,Completed,Completed
261,21,2025-10-07,Completed,40.33,USD,Completed,Completed
262,433,2025-04-05,pndng,1919.39,USD,Pending,Cancelled
263,460,2025-09-11,pndng,1162.42,USD,Pending,Cancelled
264,16,2025-04-22,Pending,96.52,EUR,Pending,Cancelled
265,647,2025-05-26,Pending,654.25,USD,Pending,Cancelled
266,179,2025-08-01,Completed,1842.98,USD,Completed,Completed
267,903,2025-04-29,Completed,1131.7,EUR,Completed,Completed
268,942,2025-02-15,pending,731.97,USD,Pending,Cancelled
269,508,2025-04-04,pending,884.82,USD,Pending,Cancelled
270,797,2025-08-14,Completed,1666.27,GBP,Completed,Completed
271,61,2025-01-20,Completed,205.61,USD,Completed,Completed
272,596,2025-09-16,Completed,1439.25,EUR,Completed,Completed
273,475,2024-12-29,Pending,1069.56,EUR,Pending,Cancelled
274,949,2025-01-16,completed,1270.49,EUR,Completed,Completed
275,703,2025-06-22,Pending,1612.1,USD,Pending,Cancelled
276,237,2025-02-02,Pending,60.31,USD,Pending,Cancelled
277,49,2025-03-04,Completed,1613.55,EUR,Completed,Completed
278,731,2025-05-11,Pending,775.47,USD,Pending,Cancelled
279,223,2025-06-03,Completed,534.51,USD,Completed,Completed
280,174,2024-12-24,Completed,809.18,USD,Completed,Completed
281,573,2025-09-01,Completed,864.16,USD,Completed,Completed
282,724,2025-01-17,Pending,1299.52,USD,Pending,Cancelled
283,791,2025-05-04,Completed,783.99,EUR,Completed,Completed
284,50,2024-11-21,Completed,1526.15,EUR,Completed,Completed
285,626,2024-12-14,pending,773.14,EUR,Pending,Cancelled
286,151,2025-04-19,pending,92.53,EUR,Pending,Cancelled
287,369,2025-08-30,Completed,54.43,EUR,Completed,Completed
288,421,2025-04-20,Completed,1355.73,USD,Completed,Completed
289,691,2025-01-07,Pending,1442.72,USD,Pending,Cancelled
290,768,2025-06-30,Pending,986.33,GBP,Pending,Cancelled
291,829,2025-02-16,Completed,1735.16,EUR,Completed,Completed
292,411,2025-03-07,Completed,1980.0,USD,Completed,Completed
293,658,2025-01-24,Completed,1344.45,USD,Completed,Completed
294,629,2025-03-15,Completed,1402.63,USD,Completed,Completed
295,245,2025-02-07,Completed,653.15,USD,Completed,Completed
296,295,2025-01-23,Completed,1817.86,EUR,Completed,Completed
297,362,2025-02-05,Completed,820.13,USD,Completed,Completed
298,617,2024-12-26,Pending,770.61,EUR,Pending,Cancelled
299,445,2025-05-22,Pending,1507.02,GBP,Pending,Cancelled
300,582,2025-02-10,Completed,1833.32,EUR,Completed,Completed
301,126,2025-05-01,Completed,413.79,USD,Completed,Completed
302,852,2025-05-24,Pending,1438.93,EUR,Pending,Cancelled
303,543,2025-11-06,Pending,985.64,EUR,Pending,Cancelled
304,557,2025-10-29,pending,1015.56,GBP,Pending,Cancelled
305,833,2025-08-01,Pending,248.51,EUR,Pending,Cancelled
306,348,2025-11-10,Pending,957.57,GBP,Pending,Cancelled
307,268,2025-02-08,Completed,712.04,USD,Completed,Completed
308,681,2025-09-28,Completed,42.53,EUR,Completed,Completed
309,260,2025-06-19,Pending,1723.21,GBP,Pending,Cancelled
310,957,2024-12-26,Pending,1327.08,USD,Pending,Cancelled
311,530,2025-06-18,Completed,592.01,EUR,Completed,Completed
312,444,2025-08-25,pending,1683.83,GBP,Pending,Cancelled
313,803,2025-05-03,Completed,1496.97,USD,Completed,Completed
314,391,2025-09-27,pndng,1816.05,GBP,Pending,Cancelled
315,871,2025-08-18,pending,983.48,GBP,Pending,Cancelled
316,83,2024-12-08,Completed,164.44,USD,Completed,Completed
317,295,2025-01-14,Pending,1941.54,USD,Pending,Cancelled
318,978,2025-07-30,Pending,188.75,EUR,Pending,Cancelled
319,321,2025-09-25,Completed,1836.05,EUR,Completed,Completed
320,678,2024-12-24,Completed,206.88,USD,Completed,Completed
321,385,2025-06-29,Pending,372.69,EUR,Pending,Cancelled
322,819,2025-02-09,Pending,286.04,EUR,Pending,Cancelled
323,39,2024-11-19,Pending,215.07,EUR,Pending,Cancelled
324,598,2025-03-17,Pending,1446.43,USD,Pending,Cancelled
325,650,2024-11-28,pndng,757.33,EUR,Pending,Cancelled
326,14,2025-01-04,Completed,944.79,USD,Completed,Completed
327,739,2025-08-22,Pending,461.89,USD,Pending,Cancelled
328,53,2025-04-12,Completed,1982.87,EUR,Completed,Completed
329,960,2025-06-26,Completed,47.08,GBP,Completed,Completed
330,944,2025-08-03,Completed,1421.34,EUR,Completed,Completed
331,654,2025-11-11,Pending,1013.88,GBP,Pending,Cancelled
332,336,2025-08-11,Completed,890.9,EUR,Completed,Completed
333,882,2025-01-07,Completed,493.73,EUR,Completed,Completed
334,299,2025-11-17,Pending,1534.38,GBP,Pending,Cancelled
335,601,2025-05-27,Completed,467.83,USD,Completed,Completed
336,561,2025-10-21,completed,1713.37,GBP,Completed,Completed
337,846,2025-02-02,Completed,979.76,EUR,Completed,Completed
338,440,2025-06-02,pndng,516.76,EUR,Pending,Cancelled
339,948,2025-04-01,Completed,468.67,EUR,Completed,Completed
340,559,2025-04-26,Completed,292.01,USD,Completed,Completed
341,401,2025-04-26,Pending,24.89,USD,Pending,Cancelled
342,395,2025-09-28,Completed,51.55,GBP,Completed,Completed
343,395,2025-09-18,Completed,1033.48,GBP,Completed,Completed
344,248,2025-05-27,Completed,688.62,GBP,Completed,Completed
345,818,2025-03-13,Completed,1278.46,USD,Completed,Completed
346,637,2024-12-11,Completed,232.55,EUR,Completed,Completed
347,407,2025-09-13,Completed,1794.9,GBP,Completed,Completed
348,253,2024-12-19,Completed,736.69,USD,Completed,Completed
349,943,2024-12-18,Completed,1996.54,EUR,Completed,Completed
350,53,2025-05-19,Completed,886.79,EUR,Completed,Completed
351,603,2025-04-16,Completed,344.55,USD,Completed,Completed
352,199,2025-06-17,pending,342.72,USD,Pending,Cancelled
353,993,2025-10-20,Pending,459.9,GBP,Pending,Cancelled
354,972,2024-12-04,pndng,1313.04,USD,Pending,Cancelled
355,798,2025-10-16,pndng,721.62,EUR,Pending,Cancelled
356,602,2025-10-16,Completed,1427.98,USD,Completed,Completed
357,730,2025-11-16,pending,1131.29,USD,Pending,Cancelled
358,637,2025-09-06,pending,1929.16,USD,Pending,Cancelled
359,439,2025-01-26,Completed,983.73,EUR,Completed,Completed
360,394,2025-04-21,Completed,279.98,EUR,Completed,Completed
361,243,2025-04-01,pending,1567.29,EUR,Pending,Cancelled
362,855,2025-03-05,Pending,1168.54,EUR,Pending,Cancelled
363,774,2025-04-20,Completed,334.02,EUR,Completed,Completed
364,256,2025-05-08,pending,873.58,USD,Pending,Cancelled
365,352,2025-11-16,Pending,1177.13,EUR,Pending,Cancelled
366,686,2025-09-09,Completed,172.23,EUR,Completed,Completed
367,122,2024-12-05,completed,1370.17,USD,Completed,Completed
368,508,2025-08-13,Completed,1063.67,USD,Completed,Completed
369,934,2025-01-07,Pending,72.38,USD,Pending,Cancelled
370,81,2025-10-21,Pending,1293.64,USD,Pending,Cancelled
371,84,2025-01-10,pending,1660.75,USD,Pending,Cancelled
372,630,2025-09-16,pending,1759.77,GBP,Pending,Cancelled
373,47,2025-08-31,Completed,141.75,GBP,Completed,Completed
374,558,2025-06-14,Pending,1126.75,EUR,Pending,Cancelled
375,489,2025-06-06,Completed,640.03,EUR,Completed,Completed
376,625,2025-01-10,pending,752.85,EUR,Pending,Cancelled
377,278,2025-08-16,Pending,1859.71,GBP,Pending,Cancelled
378,113,2025-10-16,Pending,1351.22,EUR,Pending,Cancelled
379,116,2025-06-12,Completed,1488.45,EUR,Completed,Completed
380,805,2025-08-22,pending,919.19,EUR,Pending,Cancelled
381,769,2024-12-20,Completed,534.47,EUR,Completed,Completed
382,1,2025-04-22,pending,1403.59,EUR,Pending,Cancelled
383,783,2025-05-03,Completed,782.86,USD,Completed,Completed
384,111,2025-06-28,pndng,388.62,USD,Pending,Cancelled
385,322,2025-10-18,Pending,899.83,USD,Pending,Cancelled
386,802,2024-12-22,pending,125.39,EUR,Pending,Cancelled
387,353,2025-05-05,completed,945.31,USD,Completed,Completed
388,347,2025-02-26,Completed,1982.86,EUR,Completed,Completed
389,274,2024-12-04,Completed,964.25,USD,Completed,Completed
390,109,2025-02-24,Completed,302.97,EUR,Completed,Completed
391,977,2025-02-02,Pending,1706.41,EUR,Pending,Cancelled
392,546,2025-04-22,Pending,104.67,USD,Pending,Cancelled
393,501,2025-04-15,completed,577.2,USD,Completed,Completed
394,925,2025-07-04,Completed,854.64,GBP,Completed,Completed
395,870,2025-01-28,Completed,1718.45,USD,Completed,Completed
396,202,2025-05-27,Pending,714.31,GBP,Pending,Cancelled
397,150,2025-06-22,Pending,527.24,GBP,Pending,Cancelled
398,19,2025-07-29,pending,986.66,USD,Pending,Cancelled
399,831,2025-03-28,completed,1722.2,EUR,Completed,Completed
400,712,2025-05-09,Pending,433.07,USD,Pending,Cancelled
401,372,2025-07-21,completed,400.12,GBP,Completed,Completed
402,295,2025-02-13,Completed,1711.4,EUR,Completed,Completed
403,205,2025-04-26,Pending,543.08,USD,Pending,Cancelled
404,414,2025-02-19,pending,1112.56,EUR,Pending,Cancelled
405,564,2025-02-17,Pending,1494.51,USD,Pending,Cancelled
406,916,2025-07-25,Completed,1332.71,USD,Completed,Completed
407,756,2025-06-29,Completed,1499.18,GBP,Completed,Completed
408,802,2025-08-17,Completed,1164.04,GBP,Completed,Completed
409,893,2025-08-30,Completed,1840.37,USD,Completed,Completed
410,917,2025-03-14,pending,438.71,USD,Pending,Cancelled
411,975,2025-05-24,pending,929.97,EUR,Pending,Cancelled
412,671,2025-04-23,Pending,1242.95,EUR,Pending,Cancelled
413,355,2025-02-22,Completed,1599.47,USD,Completed,Completed
414,506,2025-07-30,Completed,1362.8,EUR,Completed,Completed
415,769,2024-12-18,Completed,1871.11,USD,Completed,Completed
416,825,2025-10-19,Completed,759.67,USD,Completed,Completed
417,583,2025-07-19,completed,392.55,USD,Completed,Completed
418,521,2025-03-11,Completed,599.53,USD,Completed,Completed
419,51,2025-04-10,Completed,908.11,USD,Completed,Completed
420,247,2025-04-16,Completed,1297.61,USD,Completed,Completed
421,868,2025-09-25,Pending,1889.59,USD,Pending,Cancelled
422,635,2025-02-04,Pending,915.63,EUR,Pending,Cancelled
423,569,2025-06-27,pending,164.02,EUR,Pending,Cancelled
424,431,2025-04-27,Pending,933.2,USD,Pending,Cancelled
425,665,2025-06-13,Pending,1138.06,USD,Pending,Cancelled
426,638,2025-11-07,pndng,929.46,USD,Pending,Cancelled
427,887,2025-04-03,Completed,1530.62,USD,Completed,Completed
428,827,2025-02-11,pending,1872.05,EUR,Pending,Cancelled
429,494,2025-05-08,Pending,78.37,EUR,Pending,Cancelled
430,870,2025-11-16,completed,311.82,EUR,Completed,Completed
431,203,2025-06-03,Completed,922.86,GBP,Completed,Completed
432,276,2025-10-15,Pending,1536.85,USD,Pending,Cancelled
433,91,2025-02-07,completed,1950.3,EUR,Completed,Completed
434,563,2025-01-11,pending,1961.09,USD,Pending,Cancelled
435,948,2025-10-24,Pending,138.56,USD,Pending,Cancelled
436,828,2025-04-15,Completed,1223.98,USD,Completed,Completed
437,832,2025-07-24,Completed,1498.1,USD,Completed,Completed
438,953,2025-06-08,pending,439.85,USD,Pending,Cancelled
